[0704/000624.288:ERROR:process_reader_win.cc(151)] SuspendThread: Отказано в доступе. (0x5)
[0704/000624.435:ERROR:process_reader_win.cc(151)] SuspendThread: Отказано в доступе. (0x5)
[0704/000624.435:ERROR:process_reader_win.cc(151)] SuspendThread: Отказано в доступе. (0x5)
[0704/000624.435:ERROR:process_reader_win.cc(151)] SuspendThread: Отказано в доступе. (0x5)
[0704/000624.435:ERROR:process_reader_win.cc(151)] SuspendThread: Отказано в доступе. (0x5)
[0704/000624.435:ERROR:process_reader_win.cc(151)] SuspendThread: Отказано в доступе. (0x5)
[0704/000624.435:ERROR:process_reader_win.cc(151)] SuspendThread: Отказано в доступе. (0x5)
[0704/000624.435:ERROR:process_reader_win.cc(123)] NtOpenThread: {Отказано в доступе} Процесс запросил доступ к объекту, но права на доступ не предоставлены. (0xc0000022)
[0721/210025.858:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ff6f4307000 of 6024 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0721/210025.858:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ff6f4309000 of 852 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0721/210025.858:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ff6f430a000 of 6024 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0721/210025.858:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ff6f430c000 of 6024 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0721/210025.858:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ff6f430e000 of 6024 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0721/210025.858:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffce04688e0 of 512 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0721/210025.858:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffce0aa62a0 of 512 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0721/210025.858:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffce512f3b0 of 512 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0721/210025.858:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffce5386310 of 512 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0721/210025.858:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffce53eedeb of 512 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0721/210025.858:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcfbe079a5 of 512 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0721/210025.926:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcfbe08180 of 512 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0721/210025.953:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffd1c9a9140 of 512 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0721/210025.953:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffd1cf095e0 of 18 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0721/210025.953:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffd1cf1c4f0 of 512 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0721/210025.953:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffd1cf3acd0 of 512 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0721/210025.953:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffd1cf9071a of 592 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0721/210025.971:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffd1cf9219a of 560 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0721/210025.971:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffd1d02e8a8 of 40 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0721/210025.971:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffd1d02ebe0 of 48 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0721/210025.971:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffd1d031320 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0721/210027.697:ERROR:scoped_process_suspend.cc(40)] NtResumeProcess: Попытка доступа к процессу, выполняющему процедуру завершения. (0xc000010a)
[0724/115139.992:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ff69c310000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.020:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
[0724/115140.020:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcfaf50000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.020:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\ntdll.dll
[0724/115140.020:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcfa9c0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.020:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\KERNEL32.DLL
[0724/115140.020:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf84c0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.020:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\KERNELBASE.dll
[0724/115140.020:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcdc8d0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.020:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\84.0.4147.89\chrome_elf.dll
[0724/115140.020:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf6c30000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.020:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\VERSION.dll
[0724/115140.020:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf8750000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.020:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\msvcrt.dll
[0724/115140.020:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcfae00000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.020:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\ADVAPI32.dll
[0724/115140.020:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcfa770000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.020:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\sechost.dll
[0724/115140.020:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcfa360000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.020:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\RPCRT4.dll
[0724/115140.020:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf82b0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.020:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\SspiCli.dll
[0724/115140.020:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcc8760000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.020:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\84.0.4147.89\chrome.dll
[0724/115140.020:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf8b20000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.020:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\WS2_32.dll
[0724/115140.020:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf1be0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.020:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\IPHLPAPI.DLL
[0724/115140.020:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf8b80000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.020:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\OLEAUT32.dll
[0724/115140.020:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf0fe0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.020:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\WINMM.dll
[0724/115140.020:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcea250000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.020:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\Secur32.dll
[0724/115140.020:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf76c0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.020:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\USERENV.dll
[0724/115140.020:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf81a0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.020:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\WINTRUST.dll
[0724/115140.020:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffce63d0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.020:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\UIAutomationCore.DLL
[0724/115140.020:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf82e0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.020:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\CRYPT32.dll
[0724/115140.020:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf5050000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.020:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\DWrite.dll
[0724/115140.021:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf0e40000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.021:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\WINSPOOL.DRV
[0724/115140.021:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcdc9c0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.021:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\dbghelp.dll
[0724/115140.021:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcef3c0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.021:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\WINHTTP.dll
[0724/115140.021:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf19a0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.021:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\dhcpcsvc.DLL
[0724/115140.021:ERROR:process_memory_win.cc(73)] ReadMemory at 0xf6a2f70000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.021:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\NSI.dll
[0724/115140.021:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf1bb0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.021:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\WINNSI.DLL
[0724/115140.021:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcfa4a0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.021:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\combase.dll
[0724/115140.021:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf0e10000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.021:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\WINMMBASE.dll
[0724/115140.021:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf89a0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.021:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\USER32.dll
[0724/115140.021:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf8080000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.021:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\profapi.dll
[0724/115140.021:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf8130000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.021:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\MSASN1.dll
[0724/115140.021:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf8150000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.021:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\cfgmgr32.dll
[0724/115140.021:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf6ea0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.021:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\DEVOBJ.dll
[0724/115140.021:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcfaca0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.021:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\GDI32.dll
[0724/115140.021:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcfaf10000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.021:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\IMM32.DLL
[0724/115140.021:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf85f0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.021:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\MSCTF.dll
[0724/115140.021:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf7fc0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.021:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\CRYPTBASE.DLL
[0724/115140.021:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf7f50000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115140.021:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\bcryptPrimitives.dll
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ff69c310000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.276:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\chrome.exe
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcfaf50000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.276:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\ntdll.dll
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcfa9c0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.276:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\KERNEL32.DLL
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf84c0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.276:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\KERNELBASE.dll
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcdc8d0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.276:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\84.0.4147.89\chrome_elf.dll
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf6c30000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.276:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\VERSION.dll
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf8750000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.276:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\msvcrt.dll
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcfae00000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.276:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\ADVAPI32.dll
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcfa770000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.276:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\sechost.dll
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcfa360000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.276:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\RPCRT4.dll
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf82b0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.276:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\SspiCli.dll
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcc8760000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.276:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\84.0.4147.89\chrome.dll
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf8b20000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.276:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\WS2_32.dll
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf1be0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.276:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\IPHLPAPI.DLL
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf8b80000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.276:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\OLEAUT32.dll
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf0fe0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.276:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\WINMM.dll
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcea250000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.276:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\Secur32.dll
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf76c0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.276:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\USERENV.dll
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf81a0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.276:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\WINTRUST.dll
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffce63d0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.276:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\UIAutomationCore.DLL
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf82e0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.276:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\CRYPT32.dll
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf5050000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.276:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\DWrite.dll
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf0e40000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.276:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\WINSPOOL.DRV
[0724/115141.276:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcdc9c0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.277:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\dbghelp.dll
[0724/115141.277:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcef3c0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.277:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\WINHTTP.dll
[0724/115141.277:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf19a0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.277:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\dhcpcsvc.DLL
[0724/115141.277:ERROR:process_memory_win.cc(73)] ReadMemory at 0xf6a2f70000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.277:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\NSI.dll
[0724/115141.277:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf1bb0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.277:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\WINNSI.DLL
[0724/115141.277:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcfa4a0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.277:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\combase.dll
[0724/115141.277:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf0e10000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.277:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\WINMMBASE.dll
[0724/115141.277:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf89a0000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.277:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\USER32.dll
[0724/115141.277:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf8080000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.277:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\profapi.dll
[0724/115141.277:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf8130000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.277:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\system32\MSASN1.dll
[0724/115141.277:ERROR:process_memory_win.cc(73)] ReadMemory at 0x7ffcf8150000 of 64 bytes failed: Запрос ReadProcessMemory или WriteProcessMemory был выполнен только частично. (0x12B)
[0724/115141.277:WARNING:pe_image_reader.cc(340)] could not read dos header from C:\Windows\SYSTEM32\cfgmgr32.dll
